LEAID,district_,latcod,loncod,TotalFreeLunch,NumberStudents,ulocal,coname,countyCode,NumberTeachers,povrate,NumberSchools
4200824,CENTRAL VALLEY SD,40.6813,-80.2732,850,2382,21,BEAVER COUNTY,42007,157.5,.358931882056058,4
4202010,ABINGTON HEIGHTS SD,41.4889,-75.7027,473,3306,21,LACKAWANNA COUNTY,42069,227.08,.150837108285011,6
4202040,ABINGTON SD,40.1145,-75.1385,1529,7639,21,MONTGOMERY COUNTY,42091,544,.213874169216163,9
4202100,ALBERT GALLATIN AREA SD,39.8959,-79.8823,2158,3521,41,FAYETTE COUNTY,42051,235.92,.630580349607114,9
4202130,ALIQUIPPA SD,40.6086,-80.2783,1053,1170,21,BEAVER COUNTY,42007,85,.89643350792958,2
4202190,ALLEGHENY VALLEY SD,40.5448,-79.7835,418,983,21,ALLEGHENY COUNTY,42003,63.33,.438939318295454,3
4202280,ALLENTOWN CITY SD,40.5786,-75.462,14364,16826,12,LEHIGH COUNTY,42077,905.94,.845436100566796,21
4202310,ALLEGHENY-CLARION VALLEY SD,41.1466,-79.6755,292,703,43,CLARION COUNTY,42031,40.99,.415866904433817,2
4202340,ALTOONA AREA SD,40.4924,-78.411,4846,7778,13,BLAIR COUNTY,42013,479.27,.618437840080768,13
4202400,WISSAHICKON SD,40.1675,-75.2313,825,4437,21,MONTGOMERY COUNTY,42091,327.86,.189154819402758,7
4202440,AMBRIDGE AREA SD,40.667,-80.2122,1333,2624,41,BEAVER COUNTY,42007,179,.524591144653306,5
4202480,ANTIETAM SD,40.3479,-75.8674,470,1030,21,BERKS COUNTY,42011,82.33,.461024459945334,3
4202490,ANNVILLE-CLEONA SD,40.3349,-76.4731,391,1474,23,LEBANON COUNTY,42075,97.5,.272304209992129,4
4202550,APOLLO-RIDGE SD,40.6045,-79.4754,620,1283,41,ARMSTRONG COUNTY,42005,86.5,.481044729183271,3
4202590,ARMSTRONG SD,40.7943,-79.2705,2353,5361,42,ARMSTRONG COUNTY,42005,392.5,.434435366787493,10
4202670,ATHENS AREA SD,41.9688,-76.5312,988,2171,32,BRADFORD COUNTY,42015,150.8,.467768692833952,4
4202700,AUSTIN AREA SD,41.6246,-78.0881,99,214,42,POTTER COUNTY,42105,18.43,.460531004989309,2
4202760,AVELLA AREA SD,40.2735,-80.4182,268,573,42,WASHINGTON COUNTY,42125,49,.469623314442056,2
4202790,AVON GROVE SD,39.7962,-75.8846,1296,5096,21,CHESTER COUNTY,42029,314.25,.260118928511346,4
4202820,AVONWORTH SD,40.5416,-80.095,216,1541,21,ALLEGHENY COUNTY,42003,110.5,.140460343674605,3
4202850,PINE-RICHLAND SD,40.6536,-79.9609,335,4612,21,ALLEGHENY COUNTY,42003,303.5,.0695077830403103,6
4202910,BALD EAGLE AREA SD,40.9418,-77.8104,668,1764,41,CENTRE COUNTY,42027,135,.375811054400822,5
4202970,BALDWIN-WHITEHALL SD,40.3454,-79.9957,1419,4117,21,ALLEGHENY COUNTY,42003,257.5,.341483017654307,5
4203000,BANGOR AREA SD,40.8447,-75.212,1213,3031,21,NORTHAMPTON COUNTY,42095,213.45,.408149019475503,5
4203120,BEAVER AREA SD,40.6968,-80.3194,378,1986,21,BEAVER COUNTY,42007,119.65,.18633220443003,4
4203180,BEDFORD AREA SD,40.0322,-78.5066,822,1903,32,BEDFORD COUNTY,42009,125.88,.430975890894484,3
4203210,BELLE VERNON AREA SD,40.1788,-79.8168,866,2587,23,WESTMORELAND COUNTY,42129,147,.340908828109728,6
4203240,BELLEFONTE AREA SD,40.8938,-77.8109,790,2719,41,CENTRE COUNTY,42027,202.75,.295254413925948,6
4203300,BELLWOOD-ANTIS SD,40.5943,-78.3257,110,1259,23,BLAIR COUNTY,42013,66.66,.0932994062765055,3
4203330,BENSALEM TOWNSHIP SD,40.0801,-74.9475,3023,6291,21,BUCKS COUNTY,42017,0,.499526189618013,9
